titulo,autor,duracion,fecha,genero
Wanna Be Startin' Something, Michael Jackson, 6:03, 1982/11/30, Pop
Baby Be Mine, Michael Jackson, 4:20, 1982/11/30, Pop
The Girl is Mine, Michael Jackson, 3:42, 1982/11/30, Pop
Thriller, Michael Jackson, 5:58, 1982/11/30, Pop
Beat It, Michael Jackson, 4:18, 1982/11/30, Pop
Bille Jean, Michael Jackson, 4:54, 1982/11/30, Pop
Human Nature, Michael Jackson, 4:06, 1982/11/30, Pop
P.Y.T. (Pretty Young Thing), Michael Jackson, 3:59, 1982/11/30, Pop
The Lady In My Life, Michael Jackson, 4:58, 1982/11/30, Pop
